ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,construct_date,energetic_certif,floor,garage,garden,house_id,house_type,lift,loc_city,loc_district,loc_full,loc_neigh,loc_zone,m2_real,m2_useful,obtention_date,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,condition_promoción de obra nueva,condition_segunda mano/buen estado,condition_segunda mano/para reformar,heating_calefacción central,heating_calefacción central: gas,heating_calefacción central: gasoil,heating_calefacción individual,heating_calefacción individual: bomba de frío/calor,heating_calefacción individual: eléctrica,heating_calefacción individual: gas natural,heating_calefacción individual: gas propano/butano,heating_no dispone de calefacción,orientation_este,"orientation_este, oeste",orientation_norte,"orientation_norte, este","orientation_norte, este, oeste","orientation_norte, oeste","orientation_norte, sur","orientation_norte, sur, este","orientation_norte, sur, este, oeste","orientation_norte, sur, oeste",orientation_oeste,orientation_sur,"orientation_sur, este","orientation_sur, este, oeste","orientation_sur, oeste"
Anuncio actualizado el 29 de marzo,0,0,1.0,0,0,1965.0,no indicado,planta 5ª exterior,0,0,84861203,15,1.0,Vitoria-Gasteiz,Distrito Aranzabela - Aranbizkarra," extremadura , Distrito Aranzabela - Aranbizkarra , Vitoria-Gasteiz , Álava ",extremadura,Álava,95,90.0,2019-03-29,750,0,3.0,0,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,1,1.0,0,0,1993.0,,planta 1ª exterior,0,0,83306410,15,1.0,Vitoria-Gasteiz,Distrito Adurtza," Calle Heraclio Fournier, 33 , Distrito Adurtza , Vitoria-Gasteiz , Álava ","Calle Heraclio Fournier, 33",Álava,89,80.0,2019-03-29,750,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
más de 2 meses sin actualizar,0,0,2.0,0,0,1993.0,no indicado,planta 1ª exterior,0,0,83537586,15,1.0,Vitoria-Gasteiz,Distrito Lovaina - Aranzabal," Avenida Gasteiz, 50 , Distrito Lovaina - Aranzabal , Vitoria-Gasteiz , Álava ","Avenida Gasteiz, 50",Álava,120,87.0,2019-03-29,1000,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
más de 2 meses sin actualizar,0,0,2.0,0,0,1993.0,no indicado,planta 1ª exterior,0,0,26011638,15,0.0,Labastida,"Calle Marrate, 2"," Calle Marrate, 2 , Labastida , Laguardia-Rioja Alavesa, Álava ",,"Laguardia-Rioja Alavesa, Álava",120,101.0,2019-03-29,1200,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 21 de marzo,0,0,1.0,0,0,1993.0,no indicado,bajo exterior,0,0,83624854,15,1.0,Vitoria-Gasteiz,Distrito Armentia - Ciudad Jardín," Calle Maite Zuñiga, 2 , Distrito Armentia - Ciudad Jardín , Vitoria-Gasteiz , Álava ","Calle Maite Zuñiga, 2",Álava,52,87.0,2019-03-29,700,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 4 de febrero,0,0,1.0,0,0,1993.0,no indicado,planta 1ª exterior,0,0,84139748,15,0.0,Okondo,"Jandiola Entitatea, 16"," Jandiola Entitatea, 16 , Okondo , Ayala, Álava ",,"Ayala, Álava",80,87.0,2019-03-29,550,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 31 de enero,0,1,5.0,1,0,1993.0,,4 plantas,1,1,84100618,16,1.0,Villabuena de Álava,"Calle Viura, 1"," Calle Viura, 1 , Villabuena de Álava , Laguardia-Rioja Alavesa, Álava ",,"Laguardia-Rioja Alavesa, Álava",360,300.0,2019-03-29,1500,1,4.0,1,1,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 21 de marzo,0,0,1.0,0,0,1993.0,,bajo exterior,0,0,84737072,15,1.0,Vitoria-Gasteiz,Distrito Zabalgana - Ariznabarra," Gaztelako Atea, 54 , Distrito Zabalgana - Ariznabarra , Vitoria-Gasteiz , Álava ","Gaztelako Atea, 54",Álava,42,41.0,2019-03-29,650,0,1.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 12 de febrero,0,0,2.0,1,0,1993.0,en trámite,planta 6ª exterior,0,0,84248636,15,1.0,Vitoria-Gasteiz,Distrito Lakua," Calle Damaso Alonso, 1 , Urb. Estacion , Distrito Lakua , Vitoria-Gasteiz , Álava ",Urb. Estacion,Álava,80,87.0,2019-03-29,800,0,2.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 15 de marzo,0,0,2.0,0,0,1993.0,en trámite,planta 2ª,0,0,84684858,15,1.0,Iruña de Oca,Plaza Rita Oraá," Plaza Rita Oraá , Iruña de Oca , Añana, Álava ",,"Añana, Álava",90,87.0,2019-03-29,650,0,3.0,0,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 11 de marzo,0,0,2.0,1,0,1993.0,en trámite,planta 8ª exterior,1,0,84393334,15,1.0,Vitoria-Gasteiz,Distrito San Martín," Avenida Gasteiz, Vitoria-Gasteiz , Distrito San Martín , Vitoria-Gasteiz , Álava ","Avenida Gasteiz, Vitoria-Gasteiz",Álava,100,94.0,2019-03-29,1150,0,3.0,1,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 25 de marzo,0,0,2.0,0,0,1993.0,no indicado,planta 4ª exterior,0,0,84761675,17,1.0,Vitoria-Gasteiz,Distrito Centro," Calle Florida, 15 , Distrito Centro , Vitoria-Gasteiz , Álava ","Calle Florida, 15",Álava,75,68.0,2019-03-29,840,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 24 de marzo,0,0,2.0,0,0,1993.0,no indicado,planta 3ª exterior,0,0,84792816,15,1.0,Vitoria-Gasteiz,Distrito Casco Viejo," Casco Viejo, 1 , Distrito Casco Viejo , Vitoria-Gasteiz , Álava ","Casco Viejo, 1",Álava,80,87.0,2019-03-29,750,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de octubre,0,0,5.0,0,0,2015.0,no indicado,3 plantas,1,1,26328217,18,1.0,Ribera Baja,," , Ribera Baja , Añana, Álava ",,"Añana, Álava",255,210.0,2019-03-29,800,0,4.0,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 12 de marzo,0,0,2.0,0,0,1993.0,,bajo exterior,0,0,82778702,15,1.0,Artziniega,"Calle Eguzkimendi Urbanizazioa, 4"," Calle Eguzkimendi Urbanizazioa, 4 , Artziniega , Ayala, Álava ",,"Ayala, Álava",85,87.0,2019-03-29,650,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 29 de marzo,0,0,2.0,1,0,1993.0,no indicado,planta 4ª exterior,1,1,84815196,15,1.0,Vitoria-Gasteiz,Distrito Zabalgana - Ariznabarra," Sofia Erreginaren Hiribidea, 35 , Distrito Zabalgana - Ariznabarra , Vitoria-Gasteiz , Álava ","Sofia Erreginaren Hiribidea, 35",Álava,120,105.0,2019-03-29,900,0,3.0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Anuncio actualizado el 17 de marzo,0,0,4.0,1,0,1993.0,no indicado,planta 1ª exterior,1,1,34022210,15,0.0,Vitoria-Gasteiz,Distrito Armentia - Ciudad Jardín," Calle antonia maria de oviedo, 24 -1º IZQ , Distrito Armentia - Ciudad Jardín , Vitoria-Gasteiz , Álava ","Calle antonia maria de oviedo, 24 -1º IZQ",Álava,240,220.0,2019-03-29,3000,0,4.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Anuncio actualizado el 26 de noviembre,0,0,2.0,0,0,1993.0,en trámite,planta 2ª exterior,0,1,38073212,15,1.0,Artziniega,," , Artziniega , Ayala, Álava ",,"Ayala, Álava",97,90.0,2019-03-29,650,0,3.0,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 17 de marzo,0,0,1.0,1,0,1993.0,en trámite,planta 4ª exterior,0,0,81963904,15,1.0,Artziniega,"arenatza auzoa, 2"," arenatza auzoa, 2 , Artziniega , Ayala, Álava ",,"Ayala, Álava",64,87.0,2019-03-29,525,0,3.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 13 de febrero,0,0,2.0,1,0,1993.0,no indicado,2 plantas,1,0,27519479,18,1.0,Vitoria-Gasteiz,Distrito Betoño - Abetxuko," Calle los Tilos Kalea, 53 , Urb. Abetxuko , Distrito Betoño - Abetxuko , Vitoria-Gasteiz , Álava ",Urb. Abetxuko,Álava,120,100.0,2019-03-29,950,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 21 de diciembre,0,0,3.0,0,0,2007.0,no indicado,,1,1,83553169,18,1.0,Iruña de Oca,," , Iruña de Oca , Añana, Álava ",,"Añana, Álava",200,132.0,2019-03-29,950,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Anuncio actualizado el 27 de marzo,0,0,2.0,1,0,1993.0,en trámite,,0,0,84264417,15,1.0,Vitoria-Gasteiz,Distrito Lakua," , Distrito Lakua , Vitoria-Gasteiz , Álava ",,Álava,85,80.0,2019-03-29,800,0,2.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Anuncio actualizado el 2 de marzo,0,0,2.0,0,0,1985.0,no indicado,planta 6ª,0,0,84405903,15,1.0,Vitoria-Gasteiz,Distrito Judimendi - Sta.Lucía," , Distrito Judimendi - Sta.Lucía , Vitoria-Gasteiz , Álava ",,Álava,90,87.0,2019-03-29,750,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Anuncio actualizado el 27 de marzo,0,0,1.0,1,0,1993.0,en trámite,,0,0,84645640,15,1.0,Vitoria-Gasteiz,Distrito Centro," , Distrito Centro , Vitoria-Gasteiz , Álava ",,Álava,43,39.0,2019-03-29,650,0,1.0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,2.0,0,0,1993.0,no indicado,2 plantas,0,1,84132978,18,1.0,Bernedo,"Calle el Cristo, 62"," Calle el Cristo, 62 , Bernedo , Campezo- Montaña Alavesa, Álava ",,"Campezo- Montaña Alavesa, Álava",100,110.0,2019-03-29,550,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 26 de febrero,1,0,3.0,1,0,1993.0,no indicado,planta 5ª exterior,1,0,38150934,17,1.0,Vitoria-Gasteiz,Distrito Centro," Senda Ibilbidea, 5 , Distrito Centro , Vitoria-Gasteiz , Álava ","Senda Ibilbidea, 5",Álava,200,130.0,2019-03-29,1800,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 11 de marzo,0,0,2.0,1,0,1993.0,no indicado,planta 5ª exterior,0,0,26699231,15,1.0,Vitoria-Gasteiz,Distrito Centro," Calle Olaguibel, 12 , Distrito Centro , Vitoria-Gasteiz , Álava ","Calle Olaguibel, 12",Álava,120,87.0,2019-03-29,1500,0,4.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Anuncio actualizado el 19 de febrero,0,1,2.0,0,0,1993.0,no indicado,2 plantas,1,1,83209099,18,1.0,Barrundia,"Uria, 26"," Uria, 26 , Barrundia , Salvatierra, Álava ",,"Salvatierra, Álava",1000,87.0,2019-03-29,950,0,3.0,1,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,1.0,0,0,1993.0,no indicado,planta 1ª exterior,0,0,30284677,19,0.0,Ribera Alta,"Axkoeta, 10"," Axkoeta, 10 , Ribera Alta , Añana, Álava ",,"Añana, Álava",50,87.0,2019-03-29,350,0,0.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 25 de marzo,0,0,1.0,1,0,1993.0,en trámite,bajo exterior,0,0,84412074,15,1.0,Llodio,"Calle Ugarte, 19"," Calle Ugarte, 19 , Llodio , Ayala, Álava ",,"Ayala, Álava",52,87.0,2019-03-29,520,0,1.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 12 de marzo,0,0,1.0,1,0,1993.0,,planta 8ª exterior,0,0,33447720,15,1.0,Vitoria-Gasteiz,Distrito Centro," Calle bake, 10 , Distrito Centro , Vitoria-Gasteiz , Álava ","Calle bake, 10",Álava,43,39.0,2019-03-29,650,0,1.0,1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Anuncio actualizado el 28 de marzo,0,0,2.0,1,0,1993.0,,planta 4ª exterior,0,0,84743374,15,1.0,Vitoria-Gasteiz,Distrito Centro," Calle Bake, 8 , Distrito Centro , Vitoria-Gasteiz , Álava ","Calle Bake, 8",Álava,65,50.0,2019-03-29,660,0,1.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Anuncio actualizado el 17 de marzo,0,0,1.0,1,0,1993.0,en trámite,bajo exterior,0,0,27370989,15,0.0,Legutiano,"Calle Comercio Kalea, 17"," Calle Comercio Kalea, 17 , Legutiano , Zuya, Álava ",,"Zuya, Álava",63,60.0,2019-03-29,550,0,2.0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 7 de marzo,0,0,1.0,0,0,1974.0,no indicado,1 planta,0,0,84536575,20,1.0,Valdegovia,," , Valdegovia , Añana, Álava ",,"Añana, Álava",130,90.0,2019-03-29,360,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 5 de febrero,0,0,2.0,1,0,1993.0,en trámite,planta 2ª exterior,0,0,40047680,15,1.0,Vitoria-Gasteiz,Distrito San Martín," Avenida Gasteiz , Distrito San Martín , Vitoria-Gasteiz , Álava ",Avenida Gasteiz,Álava,145,87.0,2019-03-29,1375,0,4.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 3 de enero,0,0,1.0,0,0,1993.0,,planta 5ª exterior,0,0,83020974,15,1.0,Vitoria-Gasteiz,Distrito Centro," San Antonio , Distrito Centro , Vitoria-Gasteiz , Álava ",San Antonio,Álava,56,55.0,2019-03-29,780,0,2.0,0,0,0,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 15 de marzo,0,0,2.0,1,0,1993.0,,planta 6ª exterior,0,0,84173239,15,1.0,Vitoria-Gasteiz,Distrito Lovaina - Aranzabal," Adriano VI , Distrito Lovaina - Aranzabal , Vitoria-Gasteiz , Álava ",Adriano VI,Álava,75,70.0,2019-03-29,850,0,2.0,1,0,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 6 de marzo,0,1,1.0,1,0,1993.0,en trámite,planta 3ª,0,0,83901805,15,1.0,Vitoria-Gasteiz,Distrito Txagorritxu - El Pilar," Calle Arriagako Atea , Distrito Txagorritxu - El Pilar , Vitoria-Gasteiz , Álava ",Calle Arriagako Atea,Álava,75,87.0,2019-03-29,685,0,3.0,1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,1.0,0,0,1993.0,en trámite,planta 2ª exterior,1,0,2121147,15,1.0,Vitoria-Gasteiz,Distrito Casco Viejo," Plaza España, 5 , Distrito Casco Viejo , Vitoria-Gasteiz , Álava ","Plaza España, 5",Álava,65,87.0,2019-03-29,800,0,2.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Anuncio actualizado el 24 de marzo,0,1,2.0,0,0,1993.0,no indicado,planta 1ª exterior,0,0,84656283,15,0.0,Vitoria-Gasteiz,Distrito Casco Viejo," Calle Nueva Fuera, 28 , Distrito Casco Viejo , Vitoria-Gasteiz , Álava ","Calle Nueva Fuera, 28",Álava,70,60.0,2019-03-29,980,0,3.0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Anuncio actualizado el 24 de marzo,0,0,2.0,0,0,1993.0,en trámite,bajo exterior,1,0,84664242,17,1.0,Alegria-Dulantzi,"Calle Larrara, 12"," Calle Larrara, 12 , Alegria-Dulantzi , Salvatierra, Álava ",,"Salvatierra, Álava",110,90.0,2019-03-29,700,0,3.0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
